Method,dataset,seed,Train size,Number of features for test,kBET,ASW (true labels),ASW (predicted labels),ARI,NMI
MultiVI,scmul,45,4560,800,0.9131205673758865,0.30011564,0.61897194,0.29081821152992576,0.32185241526112346
MultiVI,scmul,45,4560,1200,0.925531914893617,0.33639008,0.6242435,0.28934544656246436,0.31929354214444544
MultiVI,scmul,45,4560,1600,0.9468085106382979,0.34254324,0.63966477,0.2906928876663394,0.3243404228946357
MultiVI,scmul,45,4560,2000,0.9166666666666666,0.35170507,0.6337681,0.28955140760727766,0.31988446615775035
MultiVI,scmul,46,4560,400,0.9202127659574468,0.3258276,0.61026895,0.29022212231538114,0.3223817816381848
MultiVI,scmul,46,4560,800,0.8971631205673759,0.3313128,0.63645077,0.2909689238304377,0.3267100110442419
MultiVI,scmul,46,4560,1200,0.9042553191489362,0.3396709,0.63030696,0.2910692032482718,0.32713145038098534
MultiVI,scmul,46,4560,1600,0.9343971631205674,0.339907,0.63992935,0.2914526514237365,0.3276167648898294
MultiVI,scmul,46,4560,2000,0.9326241134751773,0.34516904,0.65909266,0.2924883514821628,0.3256604236130736
MultiVI,scmul,42,2280,400,0.9787234042553191,0.29536313,0.6327975,0.29001543061209606,0.32605375180169793
MultiVI,scmul,42,2280,800,0.9326241134751773,0.30389047,0.64001244,0.29001933879937414,0.31563723013181416
MultiVI,scmul,42,2280,1200,0.9468085106382979,0.29775286,0.6016523,0.28899612941042957,0.31523018360883387
MultiVI,scmul,42,2280,1600,0.9485815602836879,0.30413258,0.5979862,0.28949562275111046,0.315581694148867
MultiVI,scmul,42,2280,2000,0.9450354609929078,0.31686693,0.6137456,0.2905279154195184,0.32159731341409803
MultiVI,scmul,43,2280,400,0.9219858156028369,0.34112144,0.58276236,0.28871958051727,0.3149672312097726
MultiVI,scmul,43,2280,800,0.9680851063829787,0.32857728,0.6223594,0.28856614085393456,0.31236235803139295
MultiVI,scmul,43,2280,1200,0.9521276595744681,0.32672328,0.6116401,0.2883935255415747,0.3152718313072848
MultiVI,scmul,43,2280,1600,0.9609929078014184,0.32958597,0.6266797,0.2896036327470017,0.31624212081721603
MultiVI,scmul,43,2280,2000,0.9219858156028369,0.33697397,0.6226905,0.2899553311612131,0.32078090089407
MultiVI,scmul,44,2280,400,0.9485815602836879,0.3023777,0.6209869,0.2898266615734054,0.31638551969819084
MultiVI,scmul,44,2280,800,0.9627659574468085,0.29792678,0.63232756,0.28989783899759786,0.318957992261673
MultiVI,scmul,44,2280,1200,0.9663120567375887,0.2920361,0.6226441,0.2887881646239653,0.3180443941222336
MultiVI,scmul,44,2280,1600,0.9592198581560284,0.30280355,0.64049506,0.28956862565869546,0.31570958622366646
MultiVI,scmul,44,2280,2000,0.9592198581560284,0.31755453,0.63759136,0.2891175075980661,0.3153635695632375
MultiVI,scmul,45,2280,400,0.9308510638297872,0.32779604,0.62335676,0.2889748604388976,0.3175883679170661
MultiVI,scmul,45,2280,800,0.9485815602836879,0.36004603,0.6335088,0.2899925815751691,0.32111356914150946
MultiVI,scmul,45,2280,1200,0.9609929078014184,0.37094876,0.6267233,0.2902557335277382,0.3179574380576328
MultiVI,scmul,45,2280,1600,0.9539007092198581,0.36302972,0.62221277,0.2908087253510054,0.31706074560653996
MultiVI,scmul,45,2280,2000,0.9414893617021277,0.3606647,0.63390934,0.2903705068750014,0.3192519370846489
MultiVI,scmul,46,2280,400,0.9468085106382979,0.33743447,0.59672105,0.29063726656012406,0.3229651423353663
MultiVI,scmul,46,2280,800,0.9485815602836879,0.34245676,0.6070081,0.29131406675738275,0.32156865862231454
MultiVI,scmul,46,2280,1200,0.9397163120567376,0.3415694,0.61013526,0.2912108261643849,0.3205682424851606
MultiVI,scmul,46,2280,1600,0.9326241134751773,0.3417678,0.59992814,0.2901317007125429,0.3199604172772446
MultiVI,scmul,46,2280,2000,0.9414893617021277,0.33917356,0.6062534,0.2912999340013093,0.31962692343808513
MultiVI,scmul,42,1136,400,0.9184397163120568,0.32257465,0.61982656,0.2908688995950381,0.3236965450289693
MultiVI,scmul,42,1136,800,0.9609929078014184,0.3447801,0.62175894,0.2912747027870807,0.3197436693526071
MultiVI,scmul,42,1136,1200,0.9592198581560284,0.32422614,0.59058565,0.28930267068338317,0.32007035056133076
MultiVI,scmul,42,1136,1600,0.9574468085106383,0.334771,0.6172753,0.2903361370017541,0.3237260141465659
MultiVI,scmul,42,1136,2000,0.9485815602836879,0.33768967,0.6221719,0.28985486277101646,0.31931488087027565
MultiVI,scmul,43,1136,400,0.9539007092198581,0.34269756,0.6214635,0.28984866723249314,0.3175210580908075
MultiVI,scmul,43,1136,800,0.9450354609929078,0.35071978,0.60903555,0.2884620919325852,0.31502513179378794
MultiVI,scmul,43,1136,1200,0.9485815602836879,0.33574653,0.602496,0.2883835387864579,0.31805882849897016
MultiVI,scmul,43,1136,1600,0.9680851063829787,0.3289411,0.614786,0.28981533186571584,0.3191685313199279
MultiVI,scmul,43,1136,2000,0.9450354609929078,0.34455925,0.6382981,0.28965497626736647,0.3193905751586381
MultiVI,scmul,44,1136,400,0.9521276595744681,0.3023515,0.6516463,0.290020656083779,0.32124684270385484
MultiVI,scmul,44,1136,800,0.9485815602836879,0.3144337,0.6757232,0.2904998749117143,0.323763465757759
MultiVI,scmul,44,1136,1200,0.9468085106382979,0.3121565,0.6912761,0.2896638306301267,0.3185611338499931
MultiVI,scmul,44,1136,1600,0.9485815602836879,0.31548318,0.6458722,0.28994208257070975,0.31543316905367436
MultiVI,scmul,44,1136,2000,0.9539007092198581,0.32038152,0.64910764,0.28988350773443705,0.3213578411365561
MultiVI,scmul,45,1136,400,0.9414893617021277,0.30832094,0.6588861,0.29103134459325863,0.3287282514489413
MultiVI,scmul,45,1136,800,0.9397163120567376,0.29344013,0.6622224,0.2908627604964627,0.3261660107953696
MultiVI,scmul,45,1136,1200,0.9450354609929078,0.28881022,0.62329936,0.2908947477927105,0.33323562176633964
MultiVI,scmul,45,1136,1600,0.9539007092198581,0.2876929,0.640957,0.2903378810882383,0.3223553677553098
MultiVI,scmul,45,1136,2000,0.9450354609929078,0.29447526,0.6385883,0.29100644689304284,0.32382440690145803
MultiVI,scmul,46,1136,400,0.9485815602836879,0.38624823,0.62875426,0.29069261950587477,0.3257723872357558
MultiVI,scmul,46,1136,800,0.9397163120567376,0.36775115,0.6445439,0.2904687422632285,0.3190789572458015
MultiVI,scmul,46,1136,1200,0.9113475177304965,0.36733675,0.63741314,0.29019510424127054,0.31948057975617716
MultiVI,scmul,46,1136,1600,0.9184397163120568,0.37491104,0.6452733,0.2899222516279396,0.31969170095810856
MultiVI,scmul,46,1136,2000,0.9414893617021277,0.37340528,0.62394667,0.29028689134252345,0.3210660897512429
MultiVI,scmul,42,572,400,0.9769503546099291,0.31063235,0.62992907,0.28860174959971735,0.31627575278582587
MultiVI,scmul,42,572,800,0.975177304964539,0.32746455,0.6486113,0.2893907678199313,0.3168928276005645
MultiVI,scmul,42,572,1200,0.9521276595744681,0.31661588,0.6678225,0.28982535236017876,0.31878169433503173
MultiVI,scmul,42,572,1600,0.9574468085106383,0.32577547,0.6441472,0.2899349412932231,0.3185497348277754
MultiVI,scmul,42,572,2000,0.9379432624113475,0.32219714,0.6324385,0.28961863043416625,0.3178457256901513
MultiVI,scmul,43,572,400,0.9521276595744681,0.30545962,0.6551449,0.28858591463111055,0.31766015220246585
MultiVI,scmul,43,572,800,0.9663120567375887,0.28716078,0.642529,0.29032485128346613,0.322622935670491
MultiVI,scmul,43,572,1200,0.9663120567375887,0.35075796,0.632266,0.2911096291166166,0.3219687371594674
MultiVI,scmul,43,572,1600,0.9539007092198581,0.33009225,0.6504594,0.29028369469153986,0.3213318406533222
MultiVI,scmul,43,572,2000,0.9716312056737588,0.31762907,0.63714635,0.28993620079078497,0.31670172707094274
MultiVI,scmul,44,572,400,0.9361702127659575,0.29360542,0.635417,0.28976778974184736,0.3172770467834639
MultiVI,scmul,44,572,800,0.9627659574468085,0.3224132,0.646249,0.28967324741508044,0.31950950161291913
MultiVI,scmul,44,572,1200,0.9343971631205674,0.30305785,0.65218675,0.29004067091402147,0.3207653800666719
MultiVI,scmul,44,572,1600,0.9680851063829787,0.28764427,0.64939255,0.28921035631312864,0.3195097457029559
MultiVI,scmul,44,572,2000,0.9769503546099291,0.29852915,0.6560804,0.29022674550190153,0.3186798350810597
MultiVI,scmul,45,572,400,0.9379432624113475,0.30400005,0.65571165,0.2905572391348125,0.3217089008074853
