Method,Capability,fname,metric,sample_mean,feature_mean,seed,seed_num,task,split,path
DeepTAN,Feature Reconstruction,preds+seed_44+multitask_noguide+tst.pkl,jsd,0.018506998149335725,0.016205853404975767,seed_44,44,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_44+multitask_noguide+tst.pkl,pcc,0.3611482025811566,0.03438760453487476,seed_44,44,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_44+multitask_noguide+tst.pkl,spearman,0.1770267277436386,0.019717982861372288,seed_44,44,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.pkl,mse,0.1517095218639155,0.15170952186391629,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.pkl,mae,0.28461024728091017,0.2846102472809088,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.pkl,jsd,0.02218132948135408,0.018040038742263228,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.pkl,pcc,0.28586337260145533,0.027352491559164523,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+trn.pkl,spearman,0.16293542815751405,0.018455151701786177,seed_42,42,focus_recon,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+val.pkl,mse,0.1322432716277361,0.13224327162773591,seed_42,42,multitask_noguide,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+val.pkl,mae,0.30899960361581663,0.3089996036158168,seed_42,42,multitask_noguide,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+val.pkl,jsd,0.017176031469627377,0.015228944195686427,seed_42,42,multitask_noguide,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+val.pkl,pcc,0.37847002107672684,0.019545884646523307,seed_42,42,multitask_noguide,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+val.pkl,spearman,0.1487836800043405,0.007842968881165306,seed_42,42,multitask_noguide,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,mse,0.14084318285916644,0.14084318285916628,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,mae,0.2903564661031272,0.29035646610312726,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,jsd,0.01899118342856108,0.015481318726832729,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,pcc,0.3445169536562562,0.035542337193603134,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_44+multitask+tst.pkl,spearman,0.1800483953151232,0.02229951187003709,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+focus_label+tst.pkl,mse,0.13140851406607273,0.13140851406607246,seed_43,43,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+focus_label+tst.pkl,mae,0.31681773905594235,0.3168177390559424,seed_43,43,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+focus_label+tst.pkl,jsd,0.024700088113805158,0.014898272073317446,seed_43,43,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+focus_label+tst.pkl,pcc,0.0074368159288798336,0.006480031061409655,seed_43,43,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_43+focus_label+tst.pkl,spearman,0.0029375972925988862,0.004275887977694054,seed_43,43,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_43+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,mse,0.15467107917150666,0.15467107917150646,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_45+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,mae,0.32248064272061605,0.32248064272061605,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_45+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,jsd,0.019072580706748957,0.016708694659574395,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_45+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,pcc,0.32269738333972575,0.027176483173239424,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_45+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_45+multitask+tst.pkl,spearman,0.1676947398420403,0.017377684383639277,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_45+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.pkl,mse,0.1345686608619308,0.1345686608619314,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.pkl,mae,0.3120615940579968,0.31206159405799483,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.pkl,jsd,0.01735085717139803,0.015711675076633222,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.pkl,pcc,0.3796347094095406,0.020737032696738808,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+trn.pkl,spearman,0.15287538043632518,0.012944982890516944,seed_42,42,multitask_noguide,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+trn.pkl
