method,dataset,seed,train_size,n_feat,kbet,asw_true_label,asw_pred_label,ari,nmi,ami,ari_leiden,nmi_leiden,ami_leiden
scGPT,scmul,43,1136,400,0.950354609929078,0.4747715,0.50405747,0.0030753896126648134,0.052523048798541555,0.000028674376246700642,0.0030753896126648134,0.052523048798541555,0.000028674376246700642
scGPT,scmul,43,1136,800,0.9273049645390071,0.47233865,0.5014588,0.0017198201468443233,0.057590944715688104,0.0014564102626391572,0.0017198201468443233,0.057590944715688104,0.0014564102626391572
scGPT,scmul,43,1136,1200,0.9432624113475178,0.47367525,0.50243014,0.00011238201626327257,0.05511548819853505,-0.000770615953533287,0.00011238201626327257,0.05511548819853505,-0.000770615953533287
scGPT,scmul,43,1136,1600,0.9450354609929078,0.46850735,0.50368476,0.004047126655490685,0.060097384132035206,0.003995631470830984,0.004047126655490685,0.060097384132035206,0.003995631470830984
scGPT,scmul,43,1136,2000,0.9414893617021277,0.47466213,0.5018624,-0.004258510348342903,0.05578022929285558,-0.0004642764174112391,-0.004258510348342903,0.05578022929285558,-0.0004642764174112391
scGPT,scmul,44,1136,400,0.9414893617021277,0.47424057,0.5035553,-0.0015128446797792853,0.05711829445165516,-0.0030047978346592072,-0.0015128446797792853,0.05711829445165516,-0.0030047978346592072
scGPT,scmul,44,1136,800,0.9432624113475178,0.47352582,0.50379664,0.005804255720194766,0.06107432075682391,0.008978011016511486,0.005804255720194766,0.06107432075682391,0.008978011016511486
scGPT,scmul,44,1136,1200,0.9343971631205674,0.47305888,0.50360596,-0.00437281316879244,0.05594315005372013,0.0035850602533166213,-0.00437281316879244,0.05594315005372013,0.0035850602533166213
scGPT,scmul,44,1136,1600,0.9113475177304965,0.4713756,0.5025635,0.00021301598370909397,0.05457556473302087,-0.001587170898599309,0.00021301598370909397,0.05457556473302087,-0.001587170898599309
scGPT,scmul,44,1136,2000,0.9202127659574468,0.47449076,0.50336254,0.0012981253518141332,0.047627402139122726,-0.0005304844249006055,0.0012981253518141332,0.047627402139122726,-0.0005304844249006055
scGPT,scmul,45,1136,400,0.9574468085106383,0.47674674,0.50330544,0.0015766474143428925,0.05477088643439224,-0.0015547968724392454,0.0015766474143428925,0.05477088643439224,-0.0015547968724392454
scGPT,scmul,45,1136,800,0.9521276595744681,0.47732913,0.5021164,0.0027644136274693337,0.058409754419855874,-0.0014710872589037693,0.0027644136274693337,0.058409754419855874,-0.0014710872589037693
scGPT,scmul,45,1136,1200,0.9485815602836879,0.47826853,0.5013647,0.00564162368186668,0.06298450357832613,0.007521545841831653,0.00564162368186668,0.06298450357832613,0.007521545841831653
scGPT,scmul,45,1136,1600,0.9627659574468085,0.4768388,0.5026089,-0.0004276611415959004,0.0575967912742787,0.0013477664137007527,-0.0004276611415959004,0.0575967912742787,0.0013477664137007527
