n_feat,trn_grad,trn_data,Method,Capability,fname,weighted_f1,macro_f1,micro_f1,auroc,auprc,accuracy,weighted_precision,weighted_recall,seed,seed_num,task,split,path
1200,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.0026798669271594975,0.009296472974495738,0.007363770250368188,0.5146222005204881,0.5606432943456074,0.007363770250368188,0.011489923968766868,0.007363770250368188,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1200/preds+seed_43+multitask+tst.pkl
1200,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.46066054128057077,0.24535324599248975,0.41973490427098675,0.5116675370426692,0.5586425899617949,0.41973490427098675,0.5540071746333356,0.41973490427098675,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_1200/preds+seed_42+multitask+tst.pkl
1200,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.46959474498282416,0.25904640272456364,0.43593519882179677,0.5349014686720682,0.56721418935842,0.43593519882179677,0.5896524691949389,0.43593519882179677,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_1200/preds+seed_46+multitask+tst.pkl
1200,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.5501726426948481,0.24906669539928045,0.5581737849779087,0.5033080295424236,0.5480582307603834,0.5581737849779087,0.5464179772128012,0.5581737849779087,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_1200/preds+seed_44+multitask+tst.pkl
1200,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.44285305458689056,0.243269797139549,0.3946980854197349,0.5221013099410605,0.546617630610909,0.3946980854197349,0.5575983396690125,0.3946980854197349,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_1200/preds+seed_45+multitask+tst.pkl
1200,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.19239965430503042,0.12994463577313745,0.18409425625920472,0.49166699611701564,0.5401754268769479,0.18409425625920472,0.5379867544595612,0.18409425625920472,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_1200/preds+seed_43+multitask+tst.pkl
400,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.40839426919441335,0.2037749833065889,0.3637702503681885,0.49743018944544903,0.5428202314359238,0.3637702503681885,0.5230434351773167,0.3637702503681885,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_400/preds+seed_42+multitask+tst.pkl
400,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.3959139852235644,0.20669435182768894,0.3490427098674521,0.4946325029750183,0.5416197285349746,0.3490427098674521,0.524973596192557,0.3490427098674521,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_400/preds+seed_46+multitask+tst.pkl
400,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.4046015520134655,0.19459089286112785,0.36818851251840945,0.5027357619391074,0.5447888360833402,0.36818851251840945,0.5364096048217522,0.36818851251840945,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_400/preds+seed_44+multitask+tst.pkl
400,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.146288130334883,0.12605496333164126,0.16494845360824742,0.4883562937384792,0.528583220355842,0.16494845360824742,0.417783862760575,0.16494845360824742,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_400/preds+seed_45+multitask+tst.pkl
