method,dataset,seed,train_size,n_feat,kbet,asw_true_label,asw_pred_label,ari,nmi,ami,ari_leiden,nmi_leiden,ami_leiden
MultiVI,scmul,44,4560,800,0.9556737588652482,0.2791401,0.63550526,-0.0018923178459258542,0.07593117416201538,-0.00012819986222568179,-0.0018923178459258542,0.07593117416201538,-0.00012819986222568179
MultiVI,scmul,44,4560,1200,0.9645390070921985,0.2727942,0.63333064,-0.0021863506242934135,0.06883523880041363,-0.001220097074561003,-0.0021863506242934135,0.06883523880041363,-0.001220097074561003
MultiVI,scmul,44,4560,1600,0.9432624113475178,0.30413604,0.637337,-0.0035722622936024723,0.06680886590364439,0.00006000193556169064,-0.0035722622936024723,0.06680886590364439,0.00006000193556169064
MultiVI,scmul,44,4560,2000,0.950354609929078,0.3070946,0.6345743,0.000052331145069958776,0.07248001736817868,0.002800917167679875,0.000052331145069958776,0.07248001736817868,0.002800917167679875
MultiVI,scmul,45,4560,400,0.9521276595744681,0.34490752,0.64122427,0.005697451019815472,0.08825160562247236,0.013172861713994174,0.005697451019815472,0.08825160562247236,0.013172861713994174
MultiVI,scmul,45,4560,800,0.9131205673758865,0.30011564,0.61897194,0.0025228107162268963,0.072474866077358,0.002854390432421395,0.0025228107162268963,0.072474866077358,0.002854390432421395
MultiVI,scmul,45,4560,1200,0.925531914893617,0.33639008,0.6242435,-0.00255321993800981,0.06694420009132657,-0.006429291902568339,-0.00255321993800981,0.06694420009132657,-0.006429291902568339
MultiVI,scmul,45,4560,1600,0.9468085106382979,0.34254324,0.63966477,0.002097247718445658,0.07770796060404121,0.008442667235543877,0.002097247718445658,0.07770796060404121,0.008442667235543877
MultiVI,scmul,45,4560,2000,0.9166666666666666,0.35170507,0.6337681,-0.0018332902555423661,0.06823532504903987,-0.0018849973594981413,-0.0018332902555423661,0.06823532504903987,-0.0018849973594981413
MultiVI,scmul,46,4560,400,0.9202127659574468,0.3258276,0.61026895,0.0004882386564403405,0.07359989179790465,0.0006800098886959729,0.0004882386564403405,0.07359989179790465,0.0006800098886959729
MultiVI,scmul,46,4560,800,0.8971631205673759,0.3313128,0.63645077,0.003033060167482966,0.08256799042028734,0.004038002600495349,0.003033060167482966,0.08256799042028734,0.004038002600495349
MultiVI,scmul,46,4560,1200,0.9042553191489362,0.3396709,0.63030696,0.003371648226547349,0.08342025445724527,0.008024931034927586,0.003371648226547349,0.08342025445724527,0.008024931034927586
MultiVI,scmul,46,4560,1600,0.9343971631205674,0.339907,0.63992935,0.004659662101515003,0.08439728403847643,0.012354548197809949,0.004659662101515003,0.08439728403847643,0.012354548197809949
MultiVI,scmul,46,4560,2000,0.9326241134751773,0.34516904,0.65909266,0.008087083866436627,0.08042972428907931,0.01130061843075541,0.008087083866436627,0.08042972428907931,0.01130061843075541
MultiVI,scmul,42,2280,400,0.9787234042553191,0.29536313,0.6327975,-0.00022348464755552676,0.08123368134922641,0.00890051882034375,-0.00022348464755552676,0.08123368134922641,0.00890051882034375
MultiVI,scmul,42,2280,800,0.9326241134751773,0.30389047,0.64001244,-0.00020999691710253627,0.05875831072756335,0.0026637189918406134,-0.00020999691710253627,0.05875831072756335,0.0026637189918406134
MultiVI,scmul,42,2280,1200,0.9468085106382979,0.29775286,0.6016523,-0.0037819866343544125,0.057825039382864506,-0.005620391693414428,-0.0037819866343544125,0.057825039382864506,-0.005620391693414428
MultiVI,scmul,42,2280,1600,0.9485815602836879,0.30413258,0.5979862,-0.0020279531118013276,0.058631247241800966,-0.004931641652437907,-0.0020279531118013276,0.058631247241800966,-0.004931641652437907
MultiVI,scmul,42,2280,2000,0.9450354609929078,0.31686693,0.6137456,0.0015352806486888578,0.07193042285504378,0.005646662404265288,0.0015352806486888578,0.07193042285504378,0.005646662404265288
MultiVI,scmul,43,2280,400,0.9219858156028369,0.34112144,0.58276236,-0.004761799532488149,0.05721970491939184,-0.010026563157346919,-0.004761799532488149,0.05721970491939184,-0.010026563157346919
MultiVI,scmul,43,2280,800,0.9680851063829787,0.32857728,0.6223594,-0.005308151735735529,0.05111610022709451,-0.005510909465897841,-0.005308151735735529,0.05111610022709451,-0.005510909465897841
MultiVI,scmul,43,2280,1200,0.9521276595744681,0.32672328,0.6116401,-0.005925126179043313,0.05792073887404112,-0.00945641002576637,-0.005925126179043313,0.05792073887404112,-0.00945641002576637
